key,value
_ENTER_TEXT,<color=#5675FF>채팅을 입력</color>
_SUBMIT,전송
_GAME_STARTS_WHEN,모두가 준비하면 자동으로 게임이 시작됩니다.
_CURRENT_CONNECTED,접속중: 
_CURRENT_READY,준비: 
_IS_WAITING,다른사람을 기다리는 중
_IS_READY,준비되었음!
_NAME,이름
_game_name,사수좌의 날 IV
_is_connecting,접속중...
_select_character,캐릭터 선택
_game_mode,게임모드
_obstacles,장애물
_lives,라이프:
_maps,맵:
_settings,개인설정
_leaderboards,리더보드
_add_bots,봇생성
_remove_bot,봇제거
_anon_game,익명게임
_change_team,팀변경
_asakura,아사쿠라
_asakura_desc,무작위로 탄막을 생성해서 공격합니다.
_fujiwara,후지와라
_fujiwara_desc,화염방사를 합니다. 타격시마다 불씨 1 디버프가 생기며 10개가 쌓이면 데미지를 입습니다. 데미지를 입은 후에도 불씨 5가 남습니다. 
_haruhi,하루히
_haruhi_desc,주변의 플레이어에게 피해를 입힙니다.
_kimidori,키미도리
_kimidori_desc,플레이어 주위를 공전하는 풍선이 생선됩니다.
_koihime,이츠姬
_koihime_desc,돌진중 치이는 플레이어는 데미지를 입습니다. 세번까지 끊어서 사용가능합니다.
_koizumi,코이즈미
_koizumi_desc,돌진중 치이는 플레이어는 데미지를 입습니다.
_kuyou,쿠요우
_kuyou_desc,전방에 빳따를 휘둘러 피해를 입힙니다.
_kyon,쿈
_kyon_desc,살해시 스킬습득
_kyonko,쿈코
_kyonko_desc,타격시 스킬습득
_kyonmouto,쿈동생
_kyonmouto_desc,전방에 즉시 가위가 생성됩니다. 가위는 플레이어 위치로 이동합니다.
_kyouko,쿄코
_kyouko_desc,전방에 3개의 폭탄 발사. 타격즉시 범위피해를 입힙니다. 쿄코 자신도 피해를 입을 수 있습니다.
_mikuru,미쿠루
_mikuru_desc,빔공격을 실시합니다.
_mori,모리
_mori_desc,전방으로 대시. 대시하면서 피해를 입힙니다.
_nagato,나가토
_nagato_desc,책상을 던집니다. 책상에 맞는 플레이어는 사망.
_random,랜덤
_random_desc,랜덤
_sasaki,사사키
_sasaki_desc,지나가는 자리에 폐쇄공간 생성. 닿는 플레이어는 피해를 입습니다.
_spectator,관전
_spectator_desc,스킬시전 즉시 사망합니다. 무작위픽으로 선택되지 않습니다.
_character_t,T
_character_t_desc,유도능력이 있는 카드를 발사. 카드는 3회까지 유도공격이 가능하며 중간에 공격받으면 유도 횟수가 감소합니다.
_taniguchi,타니구치
_taniguchi_desc,조준방향으로 직선 공격
_tsuruya,츠루야
_tsuruya_desc,주위 넓은 범위에 무작위로 범위공격을 실시. 실시중 이동속도가 소폭 감소함. 최대 3회 중첩
_yasumi,야스미
